Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,0,World,WLD,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,1500224881,,1570195480,,10099954380,,,4
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,4,Afghanistan,AFG,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,24878,,30841,,203462,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,8,Albania,ALB,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,83064,,83590,,709392,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,12,Algeria,DZA,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,785709,,867558,,3270370,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,20,Andorra,AND,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,200610,,248650,,2980500,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,24,Angola,AGO,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,506142,,513540,,8354933,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,167914,,168483,,1069846,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,31,Azerbaijan,AZE,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,90426,,95042,,1093265,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,32,Argentina,ARG,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,89884,,108299,,3604310,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,11205396,,12382644,,124861698,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,40,Austria,AUT,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,4531630,,5160705,,56395532,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,44,Bahamas,BHS,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,256852,,257929,,2462950,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,48,Bahrain,BHR,,,,,,,,2204,"Beverages, spirits and vinegar // Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,,,169701,,170332,,1422845,,,0
