,Year,Weight,Value,Commodity,Partner,PartnerISO
132,1993,507144736,117152312,Soya beans,Spain,ESP
133,1993,7463371,1594058,Soya beans,Switzerland,CHE
134,1993,16569710,3667376,Soya beans,United Kingdom,GBR
135,1993,1000000,219000,Soya beans,USA,USA
136,1993,31359628,3909354,Soya beans,Uruguay,URY
123,1993,40622192,9543705,Soya beans,Malaysia,MYS
131,1993,3000000,636600,Soya beans,Russian Federation,RUS
122,1993,49792560,11953968,Soya beans,Rep. of Korea,KOR
129,1993,30230000,7627360,Soya beans,Portugal,PRT
120,1993,281324064,63789544,Soya beans,Italy,ITA
121,1993,337056000,77377264,Soya beans,Japan,JPN
107,1993,4184704512,945500224,Soya beans,World,WLD
109,1993,26927012,5905755,Soya beans,Belgium-Luxembourg,BEL
110,1993,5000000,1058100,Soya beans,Bermuda,BMU
111,1993,3250,4798,Soya beans,Bolivia (Plurinational State of),BOL
112,1993,97769,20927,Soya beans,Br. Virgin Isds,VGB
113,1993,3000000,636689,Soya beans,Cayman Isds,CYM
108,1993,5000,2300,Soya beans,Argentina,ARG
115,1993,27300000,6149839,Soya beans,France,FRA
116,1993,173059184,38928968,Soya beans,Germany,DEU
117,1993,1000000,257949,Soya beans,Gibraltar,GIB
118,1993,415125,251897,Soya beans,Guatemala,GTM
114,1993,47500000,10475569,Soya beans,Estonia,EST
119,1993,19200192,4513141,Soya beans,Indonesia,IDN
105,1994,5000000,1242149,Soya beans,Slovakia,SVK
96,1994,2965885440,725687936,Soya beans,Netherlands,NLD
97,1994,1000000,236089,Soya beans,Neth. Antilles,ANT
98,1994,25000000,6098100,Soya beans,Norway,NOR
101,1994,14804000,3554290,Soya beans,Poland,POL
100,1994,775000,562197,Soya beans,Paraguay,PRY
102,1994,48111752,11929947,Soya beans,Portugal,PRT
103,1994,11000000,2594899,Soya beans,Romania,ROU
104,1994,5500000,1399149,Soya beans,Russian Federation,RUS
94,1994,41450000,9714755,Soya beans,Mexico,MEX
99,1994,46347704,11855216,Soya beans,Panama,PAN
93,1994,26565000,6278610,Soya beans,Malaysia,MYS
80,1994,3327812,779718,Soya beans,Bermuda,BMU
91,1994,497943360,120422520,Soya beans,Japan,JPN
90,1994,265644624,65210540,Soya beans,Italy,ITA
89,1994,20760000,4727250,Soya beans,Indonesia,IDN
88,1994,300312,325090,Soya beans,Guatemala,GTM
87,1994,449092448,107308328,Soya beans,Germany,DEU
86,1994,111370184,27731436,Soya beans,France,FRA
85,1994,72112184,17986512,Soya beans,Estonia,EST
84,1994,874625,271139,Soya beans,Cuba,CUB
83,1994,20000,5000,Soya beans,Canada,CAN
82,1994,7000000,1756830,Soya beans,Br. Virgin Isds,VGB
81,1994,222851,59287,Soya beans,Bolivia (Plurinational State of),BOL
106,1994,33000000,7808050,Soya beans,So. African Customs Union,ZAF
92,1994,75499752,18486312,Soya beans,Rep. of Korea,KOR
107,1994,275076800,66786272,Soya beans,Spain,ESP
78,1994,5397588992,1315979264,Soya beans,World,WLD
109,1994,88989624,21433788,Soya beans,Thailand,THA
110,1994,7300000,1813320,Soya beans,Egypt,EGY
111,1994,113466000,27825808,Soya beans,United Kingdom,GBR
112,1994,5000000,1181300,Soya beans,USA,USA
113,1994,10764000,1981826,Soya beans,Uruguay,URY
114,1994,54000,30024,Soya beans,Venezuela,VEN
79,1994,93628184,23195284,Soya beans,Belgium-Luxembourg,BEL
108,1994,44503312,11237753,Soya beans,Switzerland,CHE
129,1995,1738713088,383489120,Soya beans,Netherlands,NLD
132,1995,504021696,111951320,Soya beans,Spain,ESP
133,1995,3480000,781998,Soya beans,Switzerland,CHE
137,1995,36000,14040,Soya beans,Venezuela,VEN
135,1995,6560000,1463659,Soya beans,Turkey,TUR
136,1995,75411376,13711722,Soya beans,Uruguay,URY
128,1995,8200000,1731059,Soya beans,Malaysia,MYS
134,1995,18500000,4003955,Soya beans,Thailand,THA
127,1995,35000000,7659600,Soya beans,Rep. of Korea,KOR
123,1995,202659184,45032228,Soya beans,Germany,DEU
125,1995,102599688,22555204,Soya beans,Italy,ITA
124,1995,255000,132899,Soya beans,Guatemala,GTM
122,1995,200129568,44744200,Soya beans,France,FRA
121,1995,4000000,1180199,Soya beans,Cuba,CUB
120,1995,7000000,1490580,Soya beans,Cayman Isds,CYM
119,1995,2000000,493500,Soya beans,Br. Virgin Isds,VGB
118,1995,15000,15252,Soya beans,Bolivia (Plurinational State of),BOL
117,1995,91456688,20146876,Soya beans,Belgium-Luxembourg,BEL
116,1995,3492524800,770425472,Soya beans,World,WLD
126,1995,311239296,69743376,Soya beans,Japan,JPN
131,1995,180529184,39821196,Soya beans,Portugal,PRT
130,1995,719000,263479,Soya beans,Paraguay,PRY
148,1996,3139625,939499,Soya beans,Cuba,CUB
138,1996,3646933248,1017918208,Soya beans,World,WLD
139,1996,7000000,2109800,Soya beans,Australia,AUS
140,1996,2000000,527843,Soya beans,Bahamas,BHS
141,1996,25650550,6821384,Soya beans,Belgium-Luxembourg,BEL
142,1996,4000000,1039520,Soya beans,Bermuda,BMU
143,1996,1057000,460062,Soya beans,Bolivia (Plurinational State of),BOL
144,1996,40000000,11420100,Soya beans,Cayman Isds,CYM
146,1996,60000,17820,Soya beans,Dem. Rep. of the Congo,COD
147,1996,12000000,3300983,Soya beans,Croatia,HRV
149,1996,84295000,23194464,Soya beans,France,FRA
150,1996,200108688,57532104,Soya beans,Germany,DEU
151,1996,75000,42750,Soya beans,Guatemala,GTM
152,1996,8350000,2463250,Soya beans,Indonesia,IDN
153,1996,146906752,39971432,Soya beans,Italy,ITA
154,1996,316701120,86886696,Soya beans,Japan,JPN
145,1996,14960000,4299410,Soya beans,China,CHN
156,1996,2075523968,582423040,Soya beans,Netherlands,NLD
155,1996,109418184,29849540,Soya beans,Rep. of Korea,KOR
169,1996,30000,9149,Soya beans,Venezuela,VEN
168,1996,74234688,16953636,Soya beans,Uruguay,URY
167,1996,12776000,3753030,Soya beans,USA,USA
165,1996,3300000,866324,Soya beans,Turkey,TUR
164,1996,8000000,2422576,Soya beans,Thailand,THA
166,1996,89257128,24984176,Soya beans,United Kingdom,GBR
162,1996,308620736,86159112,Soya beans,Spain,ESP
161,1996,66467876,20024602,Soya beans,Portugal,PRT
160,1996,11496000,3091550,Soya beans,Poland,POL
159,1996,4288398,2032475,Soya beans,Paraguay,PRY
158,1996,2000000,550439,Soya beans,Norway,NOR
157,1996,15143000,3749368,Soya beans,Neth. Antilles,ANT
163,1996,73601,22080,Soya beans,Switzerland,CHE
22,1997,83191936,25574940,Soya beans,Morocco,MAR
16,1997,473504256,136601648,Soya beans,Japan,JPN
20,1997,41647500,12927880,Soya beans,Mexico,MEX
19,1997,88979688,25780316,Soya beans,Malaysia,MYS
18,1997,34947744,10160651,Soya beans,Rep. of Korea,KOR
17,1997,47327272,12912339,Soya beans,Dem. People's Rep. of Korea,PRK
15,1997,205766816,61523656,Soya beans,Italy,ITA
7,1997,8027000,2238729,Soya beans,Colombia,COL
13,1997,80000,57397,Soya beans,Guatemala,GTM
12,1997,36117400,10594423,Soya beans,Greece,GRC
11,1997,440336384,128282288,Soya beans,Germany,DEU
10,1997,172685376,51552844,Soya beans,France,FRA
9,1997,10603851,3261553,Soya beans,Cuba,CUB
8,1997,13302253,3848742,Soya beans,Costa Rica,CRI
4,1997,39268760,9837731,Soya beans,Bolivia (Plurinational State of),BOL
23,1997,4320864256,1266854912,Soya beans,Netherlands,NLD
14,1997,9277609,2834680,Soya beans,Hungary,HUN
24,1997,97998872,28765508,Soya beans,Norway,NOR
3,1997,113845000,34305408,Soya beans,Belgium-Luxembourg,BEL
26,1997,11600000,3335987,Soya beans,Philippines,PHL
0,1997,8339590144,2452427008,Soya beans,World,WLD
1,1997,25000,11574,Soya beans,Angola,AGO
2,1997,25860656,8528544,Soya beans,Argentina,ARG
6,1997,302386816,89827896,Soya beans,China,CHN
38,1997,120000,79529,Soya beans,Venezuela,VEN
37,1997,36573984,10263757,Soya beans,Uzbekistan,UZB
25,1997,8975691,3927108,Soya beans,Paraguay,PRY
36,1997,98486560,23534176,Soya beans,Uruguay,URY
34,1997,153462192,46489060,Soya beans,United Kingdom,GBR
33,1997,12500000,3775000,Soya beans,Egypt,EGY
32,1997,56888288,16836852,Soya beans,Turkey,TUR
31,1997,161627312,48354292,Soya beans,Thailand,THA
30,1997,808166656,239978032,Soya beans,Spain,ESP
29,1997,5500000,1733051,Soya beans,Viet Nam,VNM
28,1997,42992072,12944576,Soya beans,Russian Federation,RUS
27,1997,15432000,4755856,Soya beans,Portugal,PRT
35,1997,107282248,33135610,Soya beans,USA,USA
5,1997,400000,118908,Soya beans,Cayman Isds,CYM
59,1998,40500000,9574378,Soya beans,Malaysia,MYS
60,1998,107436816,25170242,Soya beans,Mexico,MEX
40,1998,9274750976,2175427584,Soya beans,World,WLD
