Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,120,Cameroon,CMR,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,10755796,,10755796,,9606913,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,15580,,15580,,14920,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,132,Cabo Verde,CPV,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,203587,,203587,,207618,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,140,Central African Rep.,CAF,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,94824,,94824,,90225,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,144,Sri Lanka,LKA,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,38874176,,38874176,,30320325,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,2357262549,,2357262549,,1789785816,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,162,Christmas Isds,CXR,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,108,,108,,60,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,170,Colombia,COL,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,10060,,10060,,9456,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,174,Comoros,COM,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,2326093,,2326093,,2313726,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,178,Congo,COG,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,22872786,,22872786,,20532225,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,180,Dem. Rep. of the Congo,COD,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,9298217,,9298217,,8111876,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,184,Cook Isds,COK,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,17784,,17784,,19862,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,191,Croatia,HRV,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,1756727,,1756727,,1508872,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,192,Cuba,CUB,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,535680,,535680,,572399,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,204,Benin,BEN,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,190790363,,190790363,,167899151,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,208,Denmark,DNK,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,6085945,,6085945,,4966766,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,212,Dominica,DMA,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,15984,,15984,,18976,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,226,Equatorial Guinea,GNQ,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,2100390,,2100390,,2098393,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,231,Ethiopia,ETH,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,1518178,,1518178,,1140057,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,232,Eritrea,ERI,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,5763469,,5763469,,5036171,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,233,Estonia,EST,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,4772560,,4772560,,4130919,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,242,Fiji,FJI,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,89833,,89833,,98729,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,251,France,FRA,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,294066,,294066,,312414,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,258,French Polynesia,PYF,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,100597,,100597,,112300,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,262,Djibouti,DJI,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,288289907,,288289907,,258641239,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,266,Gabon,GAB,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,5915638,,5915638,,5832824,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,268,Georgia,GEO,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,44992944,,44992944,,33285378,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,270,Gambia,GMB,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,40263089,,40263089,,36758664,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,186523191,,186523191,,141871016,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,288,Ghana,GHA,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,149821666,,149821666,,112863806,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,296,Kiribati,KIR,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,165347,,165347,,185849,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,300,Greece,GRC,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,40469396,,40469396,,31283062,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,308,Grenada,GRD,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,94834,,94834,,106507,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,320,Guatemala,GTM,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,4499400,,4499400,,3472008,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,324,Guinea,GIN,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,40337279,,40337279,,33461630,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,328,Guyana,GUY,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,682539,,682539,,687706,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,332,Haiti,HTI,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,90891348,,90891348,,72265212,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,344,"China, Hong Kong SAR",HKG,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,214020,,214020,,220341,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,348,Hungary,HUN,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,15142,,15142,,22584,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,364,Iran,IRN,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,251321324,,251321324,,203826586,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,368,Iraq,IRQ,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,1261566,,1261566,,1059875,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,376,Israel,ISR,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,23418940,,23418940,,18227111,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,1352765837,,1352765837,,1029337823,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,384,Côte d'Ivoire,CIV,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,93013608,,93013608,,69621937,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,388,Jamaica,JAM,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,4789822,,4789822,,3834302,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,81351193,,81351193,,64837244,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,398,Kazakhstan,KAZ,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,144900,,144900,,115196,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,400,Jordan,JOR,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,8776614,,8776614,,7283197,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,404,Kenya,KEN,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,137083297,,137083297,,108082855,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,408,Dem. People's Rep. of Korea,PRK,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,20170,,20170,,19890,,,0
H4,2014,2014,2014,4,0,2,Export,360,Indonesia,IDN,410,Rep. of Korea,KOR,,,,,,,,1511,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes // Palm oil and its fractions, whether or not refined, but not chemically modified.",8,Weight in kilograms,,,154687053,,154687053,,116602559,,,0
