Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,104,Myanmar,MMR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,720,,720,,7649,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,112,Belarus,BLR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,21732,,21732,,181077,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,116,Cambodia,KHM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,83465,,83465,,708207,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,120,Cameroon,CMR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,167205,,167205,,1118060,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,4089165,,4089165,,47610343,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,132,Cabo Verde,CPV,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,24,,24,,15,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,140,Central African Rep.,CAF,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,25039,,25039,,141492,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,144,Sri Lanka,LKA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,30,,30,,932,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,148,Chad,TCD,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,11274,,11274,,69410,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,152,Chile,CHL,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,197796,,197796,,1950169,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1998011,,1998011,,15491515,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,170,Colombia,COL,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,82988,,82988,,682080,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,174,Comoros,COM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,22104,,22104,,129267,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,178,Congo,COG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,235013,,235013,,1604041,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,180,Dem. Rep. of the Congo,COD,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,43888,,43888,,284278,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,188,Costa Rica,CRI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,17785,,17785,,148049,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,191,Croatia,HRV,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,296369,,296369,,1160001,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,192,Cuba,CUB,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,29712,,29712,,308543,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,196,Cyprus,CYP,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,649529,,649529,,5201559,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,203,Czechia,CZE,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,2506063,,2506063,,16176241,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,204,Benin,BEN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,268383,,268383,,1844984,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,208,Denmark,DNK,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,12444126,,12444126,,61522874,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,212,Dominica,DMA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,12514,,12514,,129465,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,214,Dominican Rep.,DOM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,117999,,117999,,1080130,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,222,El Salvador,SLV,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,5028,,5028,,54638,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,226,Equatorial Guinea,GNQ,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,63392,,63392,,486050,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,231,Ethiopia,ETH,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1622,,1622,,13194,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,233,Estonia,EST,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,141375,,141375,,1154761,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,246,Finland,FIN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1790096,,1790096,,12699012,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,258,French Polynesia,PYF,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1086355,,1086355,,10100518,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,262,Djibouti,DJI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,137150,,137150,,1033707,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,266,Gabon,GAB,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,506337,,506337,,3586184,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,268,Georgia,GEO,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,130603,,130603,,901434,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,270,Gambia,GMB,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,2952,,2952,,24980,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,129853237,,129853237,,940282274,,,0
H4,2014,2014,2014,4,0,2,Export,251,France,FRA,288,Ghana,GHA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,62439,,62439,,524850,,,0
