Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,112,Belarus,BLR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1,,1,,1,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,116,Cambodia,KHM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,32362,,32362,,257231,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,120,Cameroon,CMR,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,244327,,244327,,1396695,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,4068832,,4068832,,45141442,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,144,Sri Lanka,LKA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,363,,363,,3688,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,148,Chad,TCD,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,14057,,14057,,95738,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,152,Chile,CHL,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,121839,,121839,,1337607,,,6
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,920936,,920936,,7326234,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,170,Colombia,COL,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,30944,,30944,,272531,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,174,Comoros,COM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,14411,,14411,,96199,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,175,Mayotte,MYT,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,373058,,373058,,2661462,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,178,Congo,COG,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,178550,,178550,,1148613,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,180,Dem. Rep. of the Congo,COD,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,79368,,79368,,383537,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,188,Costa Rica,CRI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,11157,,11157,,102799,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,191,Croatia,HRV,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,371155,,371155,,1333959,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,192,Cuba,CUB,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,28186,,28186,,270304,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,196,Cyprus,CYP,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,692629,,692629,,5224822,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,203,Czechia,CZE,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,2465767,,2465767,,14477857,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,204,Benin,BEN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,268459,,268459,,1737511,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,208,Denmark,DNK,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,10816680,,10816680,,48881671,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,212,Dominica,DMA,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,26400,,26400,,205789,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,214,Dominican Rep.,DOM,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,112115,,112115,,958202,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,218,Ecuador,ECU,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,17924,,17924,,209522,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,226,Equatorial Guinea,GNQ,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,70646,,70646,,403803,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,231,Ethiopia,ETH,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,857,,857,,5845,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,232,Eritrea,ERI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,15,,15,,1161,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,233,Estonia,EST,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,175593,,175593,,1279161,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,239,South Georgia and the South Sandwich Islands,SGS,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,12006,,12006,,80666,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,246,Finland,FIN,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1962560,,1962560,,14542895,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,258,French Polynesia,PYF,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,1289939,,1289939,,10769755,,,0
H4,2012,2012,2012,4,0,2,Export,251,France,FRA,262,Djibouti,DJI,,,,,,,,0406,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included // Cheese and curd.",8,Weight in kilograms,,,171357,,171357,,1120121,,,0
